Chemical formula,Tolerance factor,Lowest distortion,Stability [eV/atom],Label
ErPtO3,0.84,cubic,0.79,0
ErPuO3,0.78,cubic,1.19,0
ErRbO3,0.59,orthorhombic,0.37,0
ErReO3,0.86,cubic,0.87,0
ErRhO3,0.84,cubic,0.61,0
ErRuO3,0.84,cubic,0.66,0
ErSbO3,0.81,cubic,1.06,0
ErScO3,0.81,cubic,0.58,0
ErSiO3,0.97,cubic,0.80,0
ErSmO3,0.74,cubic,1.23,0
ErSnO3,0.83,cubic,0.91,0
ErSrO3,0.67,orthorhombic,0.30,0
ErTaO3,0.82,cubic,0.71,0
ErTbO3,0.75,cubic,1.07,0
ErTcO3,0.87,cubic,0.68,0
ErTeO3,0.80,cubic,1.21,0
ErThO3,0.74,cubic,1.12,0
ErTiO3,0.84,orthorhombic,0.04,0
ErTlO3,0.76,cubic,1.03,0
ErTmO3,0.76,cubic,0.91,0
ErUO3,0.72,cubic,1.14,0
ErVO3,0.86,orthorhombic,-0.02,1
ErWO3,0.85,cubic,0.87,0
ErYO3,0.76,cubic,1.03,0
ErYbO3,0.77,cubic,1.02,0
ErZnO3,0.81,orthorhombic,0.15,0
ErZrO3,0.82,cubic,0.68,0
EuAcO3,0.81,cubic,0.58,0
EuAgO3,0.83,orthorhombic,-0.03,0
EuAlO3,0.92,cubic,-0.08,0
EuAsO3,0.90,tetragonal,-0.08,0
EuAuO3,0.88,orthorhombic,-0.06,0
EuBO3,1.23,cubic,0.85,0
EuBaO3,0.74,orthorhombic,0.19,0
EuBeO3,1.11,cubic,0.25,0
EuBiO3,0.73,orthorhombic,-0.11,0
EuCaO3,0.85,cubic,0.59,0
EuCdO3,0.87,orthorhombic,0.16,0
EuCeO3,0.90,cubic,0.56,0
EuCoO3,1.06,orthorhombic,-0.04,0
EuCrO3,1.05,orthorhombic,-0.05,0
EuCsO3,0.66,cubic,1.16,0
EuCuO3,0.92,orthorhombic,0.06,0
EuDyO3,0.77,orthorhombic,0.11,0
EuErO3,0.78,orthorhombic,0.10,0
EuFeO3,0.87,orthorhombic,-0.08,0
EuGaO3,0.89,rhombohedral,0.01,1
EuGdO3,0.76,orthorhombic,0.12,0
EuGeO3,1.06,rhombohedral,-0.21,0
EuHfO3,0.97,orthorhombic,-0.18,0
EuHgO3,0.81,orthorhombic,0.05,0
EuHoO3,0.78,orthorhombic,0.10,0
EuInO3,0.81,orthorhombic,0.09,0
EuIrO3,1.01,orthorhombic,-0.04,0
EuKO3,0.73,cubic,1.36,0
EuLaO3,0.73,orthorhombic,0.14,0
EuLiO3,0.95,rhombohedral,0.35,0
EuLuO3,0.79,orthorhombic,0.09,0
EuMgO3,0.97,orthorhombic,0.20,0
EuMnO3,1.06,rhombohedral,0.00,1
EuMoO3,1.00,orthorhombic,-0.10,0
EuNaO3,0.84,orthorhombic,0.23,0
EuNbO3,0.98,orthorhombic,-0.05,0
EuNdO3,0.75,cubic,0.57,0
EuNiO3,0.89,orthorhombic,0.00,1
EuNpO3,0.90,orthorhombic,0.00,1
EuOsO3,1.04,orthorhombic,-0.14,0
EuPaO3,0.88,orthorhombic,-0.12,0
EuPbO3,0.94,orthorhombic,-0.15,0
EuPdO3,1.01,orthorhombic,-0.09,0
EuPmO3,0.86,orthorhombic,0.14,0
EuPrO3,0.91,cubic,0.53,0
EuPtO3,0.99,orthorhombic,-0.07,0
EuPuO3,0.92,orthorhombic,-0.19,0
EuRbO3,0.70,cubic,1.34,0
EuReO3,1.01,orthorhombic,-0.07,0
EuRhO3,1.02,orthorhombic,-0.13,0
EuRuO3,1.01,orthorhombic,-0.11,0
EuSbO3,0.83,orthorhombic,-0.04,0
EuScO3,0.83,orthorhombic,0.03,0
EuSiO3,1.00,cubic,0.00,1
EuSmO3,0.76,orthorhombic,0.13,0
EuSnO3,0.98,orthorhombic,-0.17,0
EuSrO3,0.79,cubic,0.90,0
EuTaO3,0.98,orthorhombic,0.04,0
EuTbO3,0.95,orthorhombic,0.12,0
EuTcO3,1.02,orthorhombic,-0.15,0
EuTeO3,0.86,orthorhombic,0.15,0
EuThO3,0.87,orthorhombic,0.10,0
EuTiO3,1.02,orthorhombic,-0.25,0
EuTlO3,0.78,orthorhombic,0.09,0
EuTmO3,0.78,orthorhombic,0.09,0
EuUO3,0.89,cubic,0.51,0
EuVO3,1.04,orthorhombic,-0.09,0
EuWO3,0.99,orthorhombic,0.12,0
EuYO3,0.78,orthorhombic,0.11,0
EuYbO3,0.79,cubic,0.49,0
EuZnO3,0.96,rhombohedral,0.11,0
EuZrO3,0.97,orthorhombic,0.00,1
FeAcO3,0.63,orthorhombic,0.19,0
FeAgO3,0.72,orthorhombic,0.18,0
FeAlO3,0.80,cubic,0.65,0
FeAsO3,0.78,cubic,0.71,0
FeAuO3,0.68,cubic,1.12,0
FeBO3,0.93,cubic,1.15,0
FeBaO3,0.58,orthorhombic,0.12,0
FeBeO3,0.86,cubic,2.19,0
FeBiO3,0.76,orthorhombic,0.22,0
FeCaO3,0.66,orthorhombic,0.20,0
FeCdO3,0.68,orthorhombic,0.23,0
FeCeO3,0.72,orthorhombic,0.21,0
FeCoO3,0.85,cubic,0.81,0
FeCrO3,0.84,cubic,0.92,0
FeCsO3,0.52,rhombohedral,0.27,0
FeCuO3,0.77,cubic,1.57,0
FeDyO3,0.67,cubic,1.45,0
FeErO3,0.67,cubic,1.46,0
FeEuO3,0.66,orthorhombic,0.29,0
FeGaO3,0.76,cubic,0.90,0
FeGdO3,0.66,orthorhombic,0.18,0
FeGeO3,0.85,cubic,0.62,0
FeHfO3,0.78,cubic,0.69,0
FeHgO3,0.63,orthorhombic,0.20,0
FeHoO3,0.67,cubic,1.49,0
FeIrO3,0.81,cubic,0.88,0
FeKO3,0.57,orthorhombic,0.15,0
FeLaO3,0.63,orthorhombic,0.18,0
FeLiO3,0.74,orthorhombic,0.38,0
FeMgO3,0.75,cubic,1.18,0
FeMnO3,0.85,cubic,0.70,0
FeMoO3,0.80,rhombohedral,0.20,0
FeNaO3,0.66,orthorhombic,0.26,0
FeNbO3,0.79,orthorhombic,0.21,0
FeNdO3,0.67,orthorhombic,0.20,0
FeNiO3,0.88,cubic,0.82,0
FeNpO3,0.70,cubic,1.03,0
FeOsO3,0.81,cubic,0.63,0
FePaO3,0.69,cubic,0.53,0
FePbO3,0.75,rhombohedral,0.23,0
FePdO3,0.81,cubic,0.91,0
FePmO3,0.67,orthorhombic,0.20,0
FePrO3,0.69,orthorhombic,0.20,0
FePtO3,0.77,cubic,0.99,0
FePuO3,0.71,rhombohedral,0.10,0
FeRbO3,0.54,orthorhombic,0.11,0
FeReO3,0.81,cubic,0.56,0
FeRhO3,0.82,cubic,0.84,0
FeRuO3,0.84,cubic,1.34,0
FeSbO3,0.82,cubic,0.66,0
FeSiO3,0.92,cubic,0.59,0
FeSmO3,0.67,orthorhombic,0.19,0
FeSnO3,0.79,cubic,0.72,0
FeSrO3,0.62,orthorhombic,0.21,0
FeTaO3,0.79,orthorhombic,0.27,0
FeTbO3,0.76,cubic,1.46,0
FeTcO3,0.80,orthorhombic,0.15,0
FeTeO3,0.69,cubic,0.77,0
FeThO3,0.70,cubic,1.26,0
FeTiO3,0.82,cubic,0.57,0
FeTlO3,0.67,orthorhombic,0.15,0
FeTmO3,0.68,cubic,1.37,0
FeUO3,0.72,cubic,0.71,0
FeVO3,0.83,cubic,0.55,0
FeWO3,0.80,rhombohedral,0.31,0
FeYbO3,0.68,orthorhombic,0.25,0
FeZnO3,0.74,cubic,1.47,0
FeZrO3,0.78,cubic,0.77,0
GaAcO3,0.56,orthorhombic,0.06,0
GaAgO3,0.61,orthorhombic,0.19,0
GaAlO3,0.74,cubic,0.87,0
GaAsO3,0.77,cubic,0.80,0
GaAuO3,0.61,cubic,1.14,0
GaBO3,0.86,cubic,1.40,0
GaBaO3,0.52,orthorhombic,0.09,0
GaBeO3,0.77,cubic,1.11,0
GaBiO3,0.66,orthorhombic,0.15,0
GaCaO3,0.59,orthorhombic,0.17,0
GaCdO3,0.61,orthorhombic,0.20,0
GaCeO3,0.61,rhombohedral,0.15,0
GaCoO3,0.70,cubic,1.87,0
GaCrO3,0.76,cubic,0.90,0
GaCsO3,0.46,cubic,1.91,0
GaCuO3,0.69,cubic,0.94,0
GaDyO3,0.60,cubic,1.37,0
GaErO3,0.62,cubic,1.34,0
GaEuO3,0.58,orthorhombic,0.05,0
GaFeO3,0.69,cubic,0.89,0
GaGdO3,0.61,rhombohedral,0.18,0
GaGeO3,0.70,cubic,0.67,0
GaHfO3,0.68,cubic,0.65,0
GaHgO3,0.57,cubic,1.34,0
GaHoO3,0.62,cubic,1.35,0
GaInO3,0.65,cubic,1.32,0
GaIrO3,0.73,cubic,0.85,0
GaKO3,0.51,orthorhombic,0.26,0
GaLaO3,0.59,rhombohedral,0.13,0
GaLiO3,0.66,cubic,1.44,0
GaLuO3,0.63,cubic,1.29,0
GaMgO3,0.67,cubic,1.32,0
GaMnO3,0.71,cubic,0.85,0
GaMoO3,0.71,cubic,0.30,0
GaNaO3,0.59,orthorhombic,0.33,0
GaNbO3,0.70,tetragonal,0.16,0
GaNdO3,0.60,rhombohedral,0.14,0
GaNiO3,0.71,cubic,0.99,0
GaNpO3,0.63,rhombohedral,0.23,0
GaOsO3,0.73,cubic,0.60,0
GaPaO3,0.62,orthorhombic,0.13,0
GaPbO3,0.60,rhombohedral,0.22,0
GaPdO3,0.66,cubic,0.95,0
GaPmO3,0.60,rhombohedral,0.14,0
GaPrO3,0.61,rhombohedral,0.15,0
GaPtO3,0.69,cubic,0.99,0
GaPuO3,0.64,orthorhombic,0.10,0
GaRbO3,0.49,orthorhombic,0.25,0
GaReO3,0.72,cubic,0.43,0
GaRhO3,0.71,cubic,0.87,0
GaRuO3,0.73,cubic,0.70,0
GaSbO3,0.71,cubic,0.60,0
GaScO3,0.66,cubic,1.21,0
GaSiO3,0.80,cubic,0.66,0
GaSmO3,0.60,rhombohedral,0.15,0
GaSnO3,0.68,cubic,0.78,0
GaSrO3,0.55,orthorhombic,0.19,0
GaTaO3,0.70,tetragonal,0.15,0
GaTbO3,0.64,rhombohedral,0.14,0
GaTcO3,0.71,rhombohedral,0.33,0
GaTeO3,0.66,cubic,0.68,0
GaThO3,0.61,cubic,0.95,0
GaTiO3,0.68,cubic,0.55,0
GaTlO3,0.55,orthorhombic,0.14,0
GaTmO3,0.60,cubic,1.31,0
GaUO3,0.66,tetragonal,0.37,0
GaVO3,0.74,cubic,0.65,0
GaWO3,0.71,cubic,0.19,0
GaYO3,0.62,rhombohedral,0.13,0
GaYbO3,0.61,orthorhombic,0.10,0
GaZnO3,0.67,cubic,1.23,0
GaZrO3,0.67,cubic,0.71,0
GdAcO3,0.70,cubic,1.46,0
GdAgO3,0.83,cubic,0.53,0
GdAlO3,0.92,orthorhombic,-0.04,0
GdAsO3,0.90,cubic,0.66,0
GdAuO3,0.76,cubic,0.73,0
GdBO3,1.07,cubic,0.78,0
GdBaO3,0.64,orthorhombic,0.27,0
GdBeO3,0.96,orthorhombic,0.34,0
GdBiO3,0.73,cubic,1.05,0
GdCaO3,0.74,cubic,0.98,0
GdCdO3,0.76,cubic,0.74,0
GdCeO3,0.74,cubic,1.29,0
GdCrO3,0.88,orthorhombic,-0.05,0
GdCsO3,0.58,tetragonal,0.63,0
GdCuO3,0.92,orthorhombic,0.04,0
GdDyO3,0.77,cubic,0.86,0
GdErO3,0.78,cubic,0.78,0
GdEuO3,0.76,cubic,1.06,0
GdFeO3,0.87,orthorhombic,-0.02,1
GdGaO3,0.88,orthorhombic,0.05,0
GdGeO3,0.92,cubic,0.56,0
GdHfO3,0.84,orthorhombic,0.21,0
GdHgO3,0.71,cubic,0.84,0
GdHoO3,0.77,cubic,0.82,0
GdInO3,0.81,cubic,0.64,0
GdIrO3,0.88,cubic,0.68,0
GdKO3,0.64,orthorhombic,0.45,0
GdLaO3,0.73,cubic,1.26,0
GdLiO3,0.82,orthorhombic,0.31,0
GdLuO3,0.79,cubic,0.67,0
GdMgO3,0.84,orthorhombic,0.17,0
GdMnO3,0.87,orthorhombic,0.00,1
GdMoO3,0.85,cubic,0.55,0
GdNaO3,0.73,cubic,1.00,0
GdNbO3,0.84,cubic,0.54,0
GdNdO3,0.75,cubic,1.16,0
GdNiO3,0.89,orthorhombic,0.00,1
GdNpO3,0.79,cubic,1.01,0
GdOsO3,0.90,cubic,0.70,0
GdPaO3,0.77,cubic,0.86,0
GdPbO3,0.82,cubic,0.96,0
GdPdO3,0.88,orthorhombic,0.04,0
GdPmO3,0.75,cubic,1.09,0
GdPrO3,0.74,cubic,1.22,0
GdPtO3,0.86,cubic,0.64,0
GdPuO3,0.80,cubic,1.04,0
GdRbO3,0.61,orthorhombic,0.47,0
GdReO3,0.88,cubic,0.76,0
GdRhO3,0.86,orthorhombic,-0.04,0
GdRuO3,0.88,cubic,0.53,0
GdSbO3,0.82,cubic,0.96,0
GdScO3,0.83,orthorhombic,0.01,1
GdSiO3,0.99,cubic,0.68,0
GdSmO3,0.75,cubic,1.05,0
GdSnO3,0.85,cubic,0.78,0
GdSrO3,0.69,orthorhombic,0.27,0
GdTaO3,0.84,cubic,0.58,0
GdTbO3,0.77,cubic,0.90,0
GdTcO3,0.89,cubic,0.53,0
GdTeO3,0.75,cubic,1.07,0
GdThO3,0.76,cubic,0.99,0
GdTiO3,0.89,orthorhombic,0.04,0
GdTlO3,0.78,orthorhombic,0.09,0
GdTmO3,0.78,cubic,0.74,0
GdUO3,0.73,cubic,0.99,0
GdVO3,0.87,orthorhombic,-0.04,0
GdWO3,0.86,cubic,0.73,0
GdYO3,0.77,cubic,0.86,0
GdYbO3,0.78,cubic,0.86,0
GdZnO3,0.83,orthorhombic,0.12,0
GdZrO3,0.84,cubic,0.53,0
GeAcO3,0.57,orthorhombic,0.09,0
GeAgO3,0.61,cubic,1.22,0
GeAlO3,0.74,cubic,0.71,0
GeAsO3,0.75,cubic,0.68,0
GeAuO3,0.61,cubic,1.17,0
GeBO3,0.86,cubic,1.32,0
GeBaO3,0.52,orthorhombic,0.13,0
GeBeO3,0.78,cubic,1.30,0
GeBiO3,0.62,cubic,0.96,0
GeCaO3,0.60,tetragonal,1.02,0
GeCdO3,0.61,orthorhombic,0.18,0
GeCeO3,0.66,orthorhombic,0.23,0
GeCoO3,0.78,cubic,0.96,0
GeCrO3,0.77,cubic,0.66,0
GeCsO3,0.46,orthorhombic,0.07,0
GeCuO3,0.69,cubic,1.06,0
GeDyO3,0.60,cubic,1.20,0
GeErO3,0.63,cubic,1.12,0
GeEuO3,0.58,orthorhombic,0.13,0
GeFeO3,0.76,cubic,0.78,0
GeGaO3,0.71,cubic,0.85,0
GeGdO3,0.61,cubic,1.28,0
GeHfO3,0.71,orthorhombic,0.22,0
GeHgO3,0.57,cubic,1.40,0
GeHoO3,0.62,cubic,1.15,0
GeInO3,0.65,cubic,1.06,0
GeIrO3,0.74,cubic,0.89,0
GeKO3,0.51,orthorhombic,0.13,0
GeLaO3,0.59,cubic,1.40,0
GeLiO3,0.66,cubic,1.60,0
GeLuO3,0.63,cubic,1.06,0
GeMgO3,0.68,cubic,1.47,0
GeMnO3,0.78,cubic,0.79,0
GeMoO3,0.74,orthorhombic,0.30,0
GeNaO3,0.59,orthorhombic,0.21,0
GeNbO3,0.72,orthorhombic,0.30,0
GeNdO3,0.60,cubic,1.33,0
GeNiO3,0.80,cubic,1.17,0
GeNpO3,0.63,cubic,0.91,0
GeOsO3,0.73,cubic,0.73,0
GePaO3,0.62,rhombohedral,0.40,0
GePbO3,0.69,rhombohedral,0.28,0
GePdO3,0.75,cubic,1.04,0
GePmO3,0.60,cubic,1.25,0
GePrO3,0.67,cubic,1.30,0
GePtO3,0.69,cubic,1.01,0
GePuO3,0.64,cubic,0.72,0
GeRbO3,0.49,orthorhombic,0.14,0
GeReO3,0.74,cubic,0.55,0
GeRhO3,0.75,cubic,0.84,0
GeRuO3,0.75,cubic,0.70,0
GeSbO3,0.72,cubic,0.64,0
GeScO3,0.67,cubic,0.94,0
GeSiO3,0.84,tetragonal,0.38,0
GeSmO3,0.61,cubic,1.24,0
GeSnO3,0.72,orthorhombic,0.25,0
GeSrO3,0.55,orthorhombic,0.15,0
GeTaO3,0.72,rhombohedral,0.38,0
GeTbO3,0.70,cubic,1.17,0
GeTcO3,0.72,cubic,0.52,0
GeTeO3,0.63,cubic,0.79,0
GeThO3,0.64,cubic,0.98,0
GeTiO3,0.75,tetragonal,0.15,0
GeTlO3,0.55,rhombohedral,0.29,0
GeTmO3,0.61,cubic,1.11,0
GeUO3,0.66,cubic,0.66,0
GeVO3,0.76,tetragonal,0.21,0
GeWO3,0.73,tetragonal,0.42,0
GeYO3,0.62,cubic,1.24,0
GeYbO3,0.61,orthorhombic,0.14,0
GeZnO3,0.67,cubic,1.31,0
GeZrO3,0.71,cubic,0.52,0
HfAcO3,0.62,orthorhombic,0.27,0
HfAgO3,0.67,orthorhombic,0.15,0
HfAlO3,0.82,cubic,0.75,0
HfAsO3,0.80,cubic,1.78,0
HfAuO3,0.68,cubic,2.03,0
HfBO3,0.95,cubic,1.34,0
HfBaO3,0.57,orthorhombic,0.36,0
HfBeO3,0.86,cubic,0.76,0
HfBiO3,0.69,cubic,2.18,0
HfCaO3,0.66,orthorhombic,0.26,0
HfCdO3,0.67,orthorhombic,0.25,0
HfCeO3,0.67,orthorhombic,0.30,0
HfCoO3,0.73,cubic,1.11,0
HfCrO3,0.81,cubic,1.09,0
HfCuO3,0.74,cubic,1.17,0
HfDyO3,0.64,cubic,1.69,0
HfErO3,0.69,cubic,1.60,0
HfEuO3,0.64,orthorhombic,0.35,0
HfFeO3,0.72,cubic,1.28,0
HfGaO3,0.78,cubic,1.17,0
HfGdO3,0.67,cubic,1.80,0
HfGeO3,0.82,cubic,1.53,0
HfHgO3,0.65,orthorhombic,0.26,0
HfHoO3,0.69,cubic,1.64,0
HfInO3,0.72,cubic,1.69,0
HfIrO3,0.78,cubic,1.82,0
HfKO3,0.57,orthorhombic,0.28,0
HfLaO3,0.65,orthorhombic,0.40,0
HfLiO3,0.73,orthorhombic,0.24,0
HfLuO3,0.70,cubic,1.48,0
HfMgO3,0.74,cubic,1.16,0
HfMnO3,0.82,cubic,1.30,0
HfMoO3,0.78,cubic,1.48,0
HfNaO3,0.65,orthorhombic,0.18,0
HfNbO3,0.74,cubic,1.37,0
HfNdO3,0.66,orthorhombic,0.31,0
HfNiO3,0.76,cubic,1.13,0
HfNpO3,0.70,orthorhombic,0.25,0
HfOsO3,0.80,cubic,1.77,0
HfPaO3,0.68,cubic,1.57,0
HfPbO3,0.66,orthorhombic,0.31,0
HfPdO3,0.70,cubic,1.68,0
HfPmO3,0.66,orthorhombic,0.32,0
HfPrO3,0.68,orthorhombic,0.31,0
HfPtO3,0.76,cubic,1.87,0
HfPuO3,0.71,orthorhombic,0.30,0
HfRbO3,0.54,tetragonal,0.61,0
HfReO3,0.78,cubic,1.71,0
HfRhO3,0.79,cubic,1.56,0
HfRuO3,0.76,cubic,1.57,0
HfSbO3,0.76,cubic,1.96,0
HfScO3,0.73,cubic,1.21,0
HfSiO3,0.88,cubic,1.38,0
HfSmO3,0.60,cubic,1.89,0
HfSnO3,0.76,orthorhombic,0.46,0
HfSrO3,0.61,orthorhombic,0.33,0
HfTaO3,0.74,cubic,1.27,0
HfTbO3,0.68,cubic,1.73,0
HfTcO3,0.79,cubic,1.55,0
HfTeO3,0.66,cubic,2.10,0
HfThO3,0.67,cubic,1.71,0
HfTiO3,0.79,cubic,1.05,0
HfTlO3,0.60,orthorhombic,0.42,0
HfTmO3,0.65,cubic,1.56,0
HfUO3,0.65,orthorhombic,0.32,0
HfVO3,0.72,cubic,1.15,0
HfWO3,0.77,cubic,1.54,0
HfYO3,0.69,cubic,1.69,0
HfYbO3,0.67,orthorhombic,0.27,0
HfZnO3,0.74,cubic,1.42,0
HfZrO3,0.74,cubic,1.26,0
HgAcO3,0.71,cubic,0.68,0
HgAgO3,0.77,orthorhombic,0.18,0
HgAlO3,0.93,orthorhombic,0.20,0
HgAsO3,0.99,rhombohedral,0.35,0
HgAuO3,0.77,orthorhombic,0.15,0
HgBO3,1.08,cubic,1.17,0
HgBaO3,0.65,orthorhombic,0.43,0
HgBeO3,0.98,cubic,0.71,0
HgBiO3,0.85,rhombohedral,0.04,0
HgCaO3,0.75,cubic,1.02,0
HgCdO3,0.77,cubic,0.70,0
HgCeO3,0.77,cubic,0.78,0
HgCoO3,0.94,rhombohedral,0.22,0
HgCrO3,0.97,orthorhombic,0.15,0
HgCsO3,0.58,cubic,1.33,0
HgCuO3,0.87,orthorhombic,0.21,0
HgDyO3,0.75,cubic,0.65,0
HgErO3,0.79,cubic,0.62,0
HgEuO3,0.73,orthorhombic,0.30,0
HgFeO3,0.91,orthorhombic,0.13,0
HgGaO3,0.89,orthorhombic,0.23,0
HgGdO3,0.77,cubic,0.68,0
HgGeO3,0.94,rhombohedral,0.16,0
HgHfO3,0.85,rhombohedral,0.07,0
HgHoO3,0.78,cubic,0.64,0
HgInO3,0.82,cubic,0.57,0
HgIrO3,0.93,rhombohedral,0.21,0
HgKO3,0.65,cubic,1.70,0
HgLaO3,0.74,cubic,0.72,0
HgLiO3,0.83,cubic,0.89,0
HgLuO3,0.80,cubic,0.59,0
HgMgO3,0.85,cubic,0.64,0
HgMnO3,0.94,orthorhombic,0.12,0
HgMoO3,0.92,cubic,0.33,0
HgNaO3,0.74,cubic,1.28,0
HgNbO3,0.90,tetragonal,0.22,0
HgNdO3,0.76,cubic,0.82,0
HgNiO3,0.96,orthorhombic,0.25,0
HgNpO3,0.80,orthorhombic,0.17,0
HgOsO3,0.92,rhombohedral,0.27,0
HgPaO3,0.78,rhombohedral,-0.13,0
HgPbO3,0.75,orthorhombic,0.04,0
HgPdO3,0.89,orthorhombic,0.09,0
HgPmO3,0.76,cubic,0.74,0
HgPrO3,0.78,cubic,0.76,0
HgPtO3,0.87,orthorhombic,0.12,0
HgPuO3,0.81,rhombohedral,-0.03,0
HgRbO3,0.61,cubic,1.66,0
HgReO3,0.93,cubic,0.44,0
HgRhO3,0.90,rhombohedral,0.18,0
HgRuO3,0.93,rhombohedral,0.18,0
HgSbO3,0.92,orthorhombic,0.22,0
HgScO3,0.84,orthorhombic,0.21,0
HgSiO3,1.00,tetragonal,0.33,0
HgSmO3,0.76,cubic,0.71,0
HgSnO3,0.86,rhombohedral,0.06,0
HgSrO3,0.70,cubic,1.20,0
HgTaO3,0.90,cubic,0.20,0
HgTbO3,0.80,cubic,0.66,0
HgTcO3,0.90,orthorhombic,0.24,0
HgTeO3,0.76,orthorhombic,0.17,0
HgThO3,0.77,cubic,0.63,0
HgTiO3,0.90,rhombohedral,0.09,0
HgTlO3,0.69,cubic,0.62,0
HgTmO3,0.76,cubic,0.60,0
HgUO3,0.85,tetragonal,0.17,0
HgVO3,0.91,orthorhombic,0.15,0
HgWO3,0.91,cubic,0.44,0
HgYO3,0.78,cubic,0.66,0
HgYbO3,0.77,cubic,0.84,0
HgZnO3,0.84,cubic,0.56,0
HgZrO3,0.85,rhombohedral,0.09,0
HoAcO3,0.71,orthorhombic,0.20,0
HoAgO3,0.83,cubic,0.64,0
HoAlO3,0.92,orthorhombic,-0.03,1
HoAsO3,0.90,cubic,0.82,0
HoAuO3,0.77,cubic,0.81,0
HoBO3,1.08,cubic,0.80,0
HoBaO3,0.65,orthorhombic,0.28,0
HoBeO3,0.97,tetragonal,0.32,0
HoBiO3,0.78,cubic,1.19,0
HoCaO3,0.74,cubic,1.10,0
HoCdO3,0.76,cubic,0.86,0
HoCeO3,0.79,cubic,1.42,0
HoCoO3,0.89,orthorhombic,0.02,1
HoCrO3,0.89,orthorhombic,-0.03,0
HoCsO3,0.58,orthorhombic,0.55,0
HoCuO3,0.92,orthorhombic,0.05,0
HoDyO3,0.75,cubic,0.99,0
HoErO3,0.78,cubic,0.91,0
HoEuO3,0.72,orthorhombic,0.20,0
HoFeO3,0.87,orthorhombic,-0.03,0
HoGaO3,0.89,orthorhombic,0.02,1
HoGdO3,0.76,cubic,1.07,0
HoGeO3,0.93,cubic,0.59,0
HoHfO3,0.85,cubic,0.56,0
HoHgO3,0.71,cubic,0.97,0
HoInO3,0.81,cubic,0.74,0
HoIrO3,0.88,cubic,0.80,0
HoKO3,0.64,orthorhombic,0.45,0
HoLaO3,0.73,cubic,1.40,0
HoLiO3,0.83,cubic,0.53,0
HoLuO3,0.79,cubic,0.80,0
HoMgO3,0.84,cubic,0.53,0
HoMnO3,0.87,orthorhombic,0.03,0
HoMoO3,0.87,cubic,0.66,0
HoNaO3,0.74,cubic,1.10,0
HoNbO3,0.86,cubic,0.65,0
HoNdO3,0.75,cubic,1.29,0
HoNiO3,0.89,orthorhombic,0.02,1
HoNpO3,0.79,cubic,1.13,0
HoOsO3,0.91,cubic,0.79,0
HoPaO3,0.77,cubic,0.97,0
HoPbO3,0.82,cubic,1.09,0
HoPdO3,0.89,cubic,0.50,0
HoPmO3,0.75,cubic,1.23,0
HoPrO3,0.79,cubic,1.35,0
HoPtO3,0.86,cubic,0.76,0
HoPuO3,0.80,cubic,1.15,0
HoRbO3,0.61,orthorhombic,0.36,0
HoReO3,0.88,cubic,0.86,0
HoRhO3,0.89,cubic,0.57,0
HoRuO3,0.89,cubic,0.62,0
HoSbO3,0.83,cubic,1.02,0
HoScO3,0.83,cubic,0.55,0
HoSiO3,1.00,cubic,0.74,0
HoSmO3,0.76,cubic,1.18,0
HoSnO3,0.86,cubic,0.88,0
HoSrO3,0.69,orthorhombic,0.26,0
HoTaO3,0.86,cubic,0.68,0
HoTbO3,0.83,cubic,1.03,0
HoTcO3,0.89,cubic,0.65,0
HoTeO3,0.75,cubic,1.17,0
HoThO3,0.76,cubic,1.09,0
HoTiO3,0.89,orthorhombic,0.03,0
HoTlO3,0.69,orthorhombic,0.12,0
HoTmO3,0.76,cubic,0.87,0
HoUO3,0.78,cubic,1.11,0
HoVO3,0.90,orthorhombic,-0.02,1
HoWO3,0.87,cubic,0.78,0
HoYO3,0.78,cubic,0.99,0
HoYbO3,0.76,cubic,0.98,0
HoZnO3,0.84,orthorhombic,0.14,0
HoZrO3,0.84,cubic,0.65,0
InAcO3,0.65,orthorhombic,0.20,0
InAgO3,0.70,cubic,0.76,0
InAlO3,0.85,orthorhombic,0.06,0
InAsO3,0.83,cubic,0.60,0
InAuO3,0.70,cubic,0.80,0
InBO3,0.99,cubic,1.18,0
InBaO3,0.59,orthorhombic,0.27,0
InBeO3,0.89,cubic,0.74,0
InBiO3,0.76,cubic,0.71,0
InCaO3,0.68,cubic,1.29,0
InCdO3,0.70,cubic,1.02,0
InCeO3,0.70,cubic,1.19,0
InCoO3,0.82,cubic,0.56,0
InCrO3,0.87,cubic,0.54,0
InCsO3,0.53,orthorhombic,0.61,0
InCuO3,0.85,cubic,0.52,0
InDyO3,0.69,cubic,1.04,0
InErO3,0.72,cubic,1.00,0
InEuO3,0.67,orthorhombic,0.17,0
InFeO3,0.79,cubic,0.59,0
InGaO3,0.81,cubic,0.64,0
InGdO3,0.70,cubic,1.07,0
InGeO3,0.85,orthorhombic,0.29,0
InHfO3,0.78,orthorhombic,0.27,0
InHgO3,0.65,cubic,0.97,0
InHoO3,0.71,cubic,1.02,0
InIrO3,0.84,cubic,0.64,0
InKO3,0.59,orthorhombic,0.45,0
InLaO3,0.67,cubic,1.14,0
InLiO3,0.76,cubic,0.95,0
InLuO3,0.73,cubic,0.94,0
InMgO3,0.78,cubic,0.84,0
InMnO3,0.80,rhombohedral,0.14,0
InMoO3,0.82,cubic,0.20,0
InNaO3,0.68,cubic,1.54,0
InNbO3,0.81,tetragonal,0.13,0
